Item Description,Item #,Inv Date,UOM ,Qty ,Sum of extprice,
APPLES GOLD DEL 125/138 XF Total,,,,86,"$2,254.45",
APPLES GRANNY SMITH 125,1215,10-Sep-15,CS,9,$255.33,WA
,,17-Sep-15,CS,9,$255.33,WA
,,24-Sep-15,CS,13,$394.29,WA
,,28-Sep-15,CS,8,$247.36,WA
,,03-Sep-15,CS,1,$30.47,WA
,,14-Sep-15,CS,1,$28.37,WA
,,08-Sep-15,CS,14,$397.18,WA
,,21-Sep-15,CS,9,$272.97,WA
,,01-Sep-15,CS,5,$152.35,WA
,,15-Sep-15,CS,9,$255.33,WA
,,23-Sep-15,CS,6,$181.98,WA
,,29-Sep-15,CS,24,$742.08,WA
,,22-Sep-15,CS,8,$242.64,WA
APPLES GRANNY SMITH 125 Total,,,,116,"$3,455.68",
APPLES RED 113-138,1372,10-Sep-15,CS,22,$493.90,WA
,,17-Sep-15,CS,6,$134.70,WA
,,03-Sep-15,CS,16,$439.20,WA
,,14-Sep-15,CS,9,$202.05,WA
,,08-Sep-15,CS,19,$426.55,WA
,,01-Sep-15,CS,8,$219.60,WA
,,15-Sep-15,CS,9,$202.05,WA
APPLES RED 113-138 Total,,,,89,"$2,118.05",
APPLES RED DEL 125 XF,1390,10-Sep-15,CS,9,$210.33,WA
,,17-Sep-15,CS,22,$514.14,WA
,,24-Sep-15,CS,30,$863.10,WA
,,28-Sep-15,CS,17,$406.64,WA
,,03-Sep-15,CS,7,$160.65,WA
,,08-Sep-15,CS,12,$280.44,WA
,,21-Sep-15,CS,13,$374.01,WA
,,01-Sep-15,CS,18,$413.10,WA
,,15-Sep-15,CS,11,$257.07,WA
,,23-Sep-15,CS,9,$258.93,WA
,,29-Sep-15,CS,39,$932.88,WA
,,22-Sep-15,CS,18,$517.86,WA
APPLES RED DEL 125 XF Total,,,,205,"$5,189.15",
BANANAS IP 150 CT,1502,10-Sep-15,CS,13,$272.35,HONDURAS
,,17-Sep-15,CS,14,$293.30,HONDURAS
,,24-Sep-15,CS,16,$335.20,HONDURAS
,,28-Sep-15,CS,20,$419.00,HONDURAS
,,03-Sep-15,CS,13,$272.35,HONDURAS
,,14-Sep-15,CS,14,$293.30,HONDURAS
,,08-Sep-15,CS,34,$712.30,HONDURAS
,,21-Sep-15,CS,17,$356.15,HONDURAS
,,01-Sep-15,CS,20,$419.00,HONDURAS
,,15-Sep-15,CS,22,$460.90,HONDURAS
,,23-Sep-15,CS,7,$146.65,HONDURAS
,,29-Sep-15,CS,21,$439.95,HONDURAS
,,22-Sep-15,CS,14,$293.30,HONDURAS
BANANAS IP 150 CT Total,,,,225,"$4,713.75",
BERRIES BLUE 12/6 OZ,1549,17-Sep-15,CS,2,$49.90,MI
,,24-Sep-15,CS,1,$39.45,MI
,,28-Sep-15,CS,26,$804.70,MI
,,21-Sep-15,CS,2,$78.90,MI
